#label	score
Arfgef1	NaN
Gga3	NaN
Gga2	NaN
Arfgef2	NaN
Cyth3	NaN
Abi2	NaN
Wasf3	NaN
Abi1	NaN
Wasf1	NaN
Dag1	NaN
Dock10	NaN
Dock11	NaN
Git2	NaN
S1pr4	NaN
Arhgap17	NaN
Dock9	NaN
Eps8	NaN
Arhgap44	NaN
Lama5	NaN
Lama1	NaN
Dcc	NaN
Git1	NaN
Pafah1b1	NaN
Bcar3	NaN
Apc	NaN
Arhgdia	4.4228
Trio	NaN
Arhgef6	NaN
Elmo2	NaN
Dock7	NaN
Arhgap1	NaN
Lamb1	NaN
Ngef	NaN
Arhgef19	NaN
Prr5	NaN
Lamb3	NaN
Arhgdig	NaN
Chn1	NaN
Noxa1	NaN
Kalrn	NaN
Arhgap5	NaN
Itsn2	NaN
Lama3	NaN
Dnmbp	NaN
Lamb2	NaN
Nedd9	NaN
Elmo3	NaN
Bcar1	NaN
Itsn1	NaN
Prex2	NaN
Elmo1	NaN
Plcb2	NaN
Arhgef7	NaN
Arhgap6	NaN
Chn2	NaN
Dock2	NaN
Arhgap35	NaN
Arhgap8	NaN
Arhgef12	NaN
Dock5	NaN
Arhgef2	NaN
Dock6	NaN
Dstn	NaN
Cfl1	6.105
Cfl2	NaN
Wasl	NaN
Was	-0.317982
Wasf2	NaN
Slc2a4	NaN
Nrf1	NaN
Ppargc1b	NaN
Tbc1d4	NaN
Tbc1d1	NaN
Stat2	NaN
Fzd2	NaN
Fzd5	NaN
Nkx2-1	NaN
Snca	NaN
Actc1	NaN
Fes	NaN
Acta2	NaN
Npas4	NaN
Lmna	6.6133
Fkbp1a	NaN
Atoh1	NaN
Abce1	NaN
Ppp3r1	NaN
Cdon	NaN
Acta1	-0.317982
Il3ra	NaN
Fgg	6.869
Lrpprc	8.6102
Racgap1	NaN
Adssl1	1.354
Adss	NaN
Il23r	NaN
Ifnar2	NaN
Il10ra	NaN
Ifnar1	NaN
Thpo	NaN
Il27ra	NaN
Il22b	NaN
Il22	NaN
Il22ra1	NaN
Il27	NaN
Iqgap2	9.7824
Adam15	NaN
Mmp13	-0.317982
Gbp2	NaN
Ifnb1	NaN
Hpgd	NaN
Ppia	NaN
Apob	7.9029
Irf4	NaN
Hgs	NaN
Adcy3	NaN
Adcy7	NaN
Adcy5	NaN
Adcy4	NaN
Adcy2	NaN
Adcy6	NaN
Adcy1	NaN
Adcy8	-0.317982
Vldlr	NaN
Eef1a1	NaN
Notch4	NaN
Nme1	NaN
Nme2	4.0523
Irf2	NaN
Rab7a	4.3079
Rin2	NaN
Rin1	NaN
Fer	NaN
Hbegf	NaN
Maz	NaN
Il17rd	NaN
Rbp1	NaN
Dock1	NaN
Cdx4	NaN
Tfap2a	NaN
Ntrk2	NaN
Mep1b	NaN
Kif5b	NaN
Gnb2	NaN
Gnb3	NaN
Gnb4	NaN
Drd3	NaN
Rack1	NaN
Angpt2	NaN
Grk6	NaN
Grk5	NaN
Grk4	NaN
Ctla4	NaN
Mmp3	NaN
Hand1	NaN
Prkar1b	NaN
Asph	NaN
Plk3	NaN
Plk2	NaN
Cdx1	NaN
Bambi	NaN
Hmga1	NaN
Pkn3	NaN
Pkn2	NaN
Ephb4	NaN
Mta2	NaN
Cd79b	NaN
Vav3	NaN
Vav2	NaN
App	NaN
Nmi	NaN
Ube2a	NaN
Ppp2r4	NaN
Ssrp1	3.423
Rassf1	NaN
Ube2b	NaN
Chek1	NaN
Hand2	NaN
Chrac1	NaN
Tnks	NaN
Tnks2	NaN
Slc9a1	NaN
Etv1	NaN
C5	NaN
Ap2a2	NaN
Ap2b1	NaN
Ap2m1	NaN
Il4r	NaN
Men1	NaN
Fabp1	NaN
Adra1b	NaN
Ccr3	NaN
Ccr2	NaN
Ccr5	NaN
Ccr1	NaN
F2rl3	NaN
Serpinb1b	NaN
Serpinb1c	NaN
Serpinb2	NaN
Serpinb6	8.1301
Plat	NaN
Serpinb1a	NaN
Serpinf2	3.8267
Serpinb8	NaN
Mlst8	NaN
Selp	NaN
Tpt1	2.5762
Dicer1	NaN
Nanog	NaN
Hnrnpu	9.4977
Zc3h12a	NaN
Avpr2	NaN
Serpind1	NaN
Pa2g4	NaN
Arrb1	NaN
Arr3	NaN
Adrbk2	NaN
Rptor	NaN
Mkl1	NaN
Itgam	NaN
Htt	NaN
Ccar2	1.6133
Rps19bp1	NaN
Irf8	NaN
Ncam1	NaN
Eif4e	NaN
Hdac8	NaN
Il1b	NaN
Bdnf	NaN
Ehd4	NaN
Ins1	-0.317982
Ins2	NaN
Cables1	NaN
Slit1	NaN
Psip1	5.7965
Hspb2	NaN
Mapkapk2	NaN
Igf2r	NaN
Fxyd2	NaN
Snrpe	NaN
Tbxa2r	NaN
Pitx1	NaN
Pip5k1c	NaN
Pip5k1a	NaN
Pip5k1b	NaN
Psenen	NaN
Adrb3	NaN
Nfe2l2	NaN
Mmp14	NaN
Grk2	NaN
Cdc25a	NaN
Xpo1	0.6512
Cdc25b	NaN
Parp1	NaN
Sp7	NaN
Gja1	NaN
Lmnb1	8.0884
Casp1	NaN
Casp4	NaN
Ptrh2	8.8312
Prkar2a	NaN
Mitf	NaN
Ddit3	NaN
H2-Ab1	NaN
Itga5	NaN
Dll1	NaN
Eif5	NaN
Eif2s2	NaN
Wnk2	NaN
Wnk4	NaN
Wnk1	NaN
Slit2	NaN
Ndrg2	NaN
Snai2	NaN
Twist1	NaN
Shc1	NaN
Ace2	NaN
Prkar2b	NaN
Prkar1a	NaN
Ppie	NaN
Aco1	NaN
Rasgrf1	NaN
Ralbp1	NaN
Fgfr3	NaN
Gnai2	NaN
Arap2	NaN
Csf1r	NaN
Arfgap2	NaN
Fgfr2	NaN
Plch2	NaN
Arap1	NaN
Rasgrp2	NaN
Vav1	NaN
Arfgap1	NaN
Asap1	NaN
Sos2	NaN
Rasa3	NaN
Gnat1	NaN
Frs2	NaN
Fgfr4	NaN
Arfgap3	NaN
Dhx9	0.3684
Shoc2	NaN
Gnat3	NaN
Ncf2	NaN
Plce1	NaN
Dhx8	NaN
Gnat2	NaN
Pik3c2g	NaN
Sos1	NaN
Plch1	NaN
Syngap1	NaN
Dab2ip	NaN
Arap3	NaN
Rasa2	NaN
Tiam1	NaN
Sod1	NaN
Cbs	NaN
Sox9	NaN
Hsp90b1	NaN
Maob	NaN
Drd2	NaN
Prkaca	NaN
Hsf4	NaN
Prkacb	NaN
Prkx	NaN
Hsf3	NaN
Hsf2	NaN
Hif3a	NaN
Mybbp1a	NaN
Lrp1	NaN
Lrp2	NaN
Bcl3	NaN
Decr1	NaN
Rel	NaN
Nrip1	NaN
Il6st	NaN
Grap2	NaN
Lcp2	NaN
Cops5	NaN
Casp6	NaN
Lgals1	9.8829
Atf1	NaN
Eif2ak4	NaN
Fosb	NaN
B2m	1.7858
Arhgdib	0.5619
Cdkn2a	NaN
Rab5a	NaN
Sele	NaN
Icam1	NaN
Znf148	NaN
Pik3c2a	NaN
Arvcf	NaN
Spta1	NaN
Capn1	NaN
Efnb3	NaN
Dnm3	NaN
Sptan1	NaN
Vcam1	NaN
Tln1	4.6571
Cblc	NaN
Ntn1	NaN
Zyx	NaN
Efnb1	NaN
Plaur	NaN
Capn2	NaN
Dnm2	NaN
Ptn	NaN
Trip6	NaN
Ptprj	NaN
S1pr1	NaN
Capn11	NaN
Efnb2	NaN
Cdh3	NaN
Capns1	NaN
Sdc2	NaN
Ptgir	NaN
Mef2a	NaN
Mef2d	NaN
Nkx2-5	NaN
Hspa5	NaN
Rpsa	4.8393
Lamc1	NaN
Rap1b	NaN
Rras	NaN
Ppp6c	NaN
Ppp2cb	NaN
Ppp2ca	NaN
Rras2	NaN
Ppp5c	NaN
Rap1a	NaN
Serpine2	NaN
E2f6	NaN
Med21	NaN
Med22	NaN
Med15	NaN
Med31	NaN
Med20	NaN
Cdk8	NaN
Med14	NaN
Med18	NaN
Med30	NaN
Med16	NaN
Med19	NaN
Med13l	NaN
Med24	NaN
Med27	NaN
Med7	NaN
Med6	NaN
Med11	NaN
Med13	NaN
Med4	NaN
Med17	NaN
Ncoa3	NaN
Med29	NaN
Med9	NaN
Cdk19	NaN
Med25	NaN
Med10	NaN
Med26	NaN
Med8	NaN
Ccnc	NaN
Med12	NaN
Med23	NaN
Foxa3	NaN
Nf1	NaN
Hmox1	-0.317982
Eif2ak2	-0.317982
Sod2	NaN
Serpine1	NaN
Kat5	NaN
Pdcd4	NaN
Rpl5	4.9662
Hif1a	-0.317982
Dnaja3	0.6883
Htatip2	NaN
Anxa2	4.1026
Eif2ak3	NaN
Mmp2	NaN
Ube2c	NaN
Hist4h4	NaN
Cebpb	NaN
Anapc10	NaN
Hist1h4d	NaN
Anapc2	NaN
Hist1h4k	NaN
Hist1h4f	NaN
Anapc5	NaN
Cdc26	NaN
Hist1h4b	NaN
Hist1h4h	NaN
Hist1h4a	NaN
Ehmt2	NaN
Hist1h4i	NaN
Hist1h4c	NaN
Cdc23	NaN
Anapc4	NaN
Anapc7	NaN
Hist1h4m	NaN
Hist1h4j	NaN
Fzr1	NaN
Anapc1	NaN
Cdc27	NaN
Cdc16	NaN
Hist2h4a	NaN
Ubc	NaN
Uba52	NaN
Ubb	NaN
Ehmt1	NaN
Rps27a	NaN
Mafg	NaN
P2rx7	NaN
Cd86	NaN
Cd80	NaN
Socs3	NaN
Ifngr1	NaN
Ebi3	NaN
Il23a	NaN
Irf6	NaN
Ddx3x	NaN
Actg1	NaN
Irf5	NaN
Irf7	NaN
Irf3	NaN
Actb	NaN
Foxa1	-0.317982
Plg	7.9071
Mmp7	NaN
Lrig1	NaN
Kat2a	NaN
Axin1	NaN
Pla2g4a	NaN
Wt1	NaN
Fosl1	NaN
Ikzf3	NaN
Pik3cg	NaN
Ikbkb	NaN
Ep400	NaN
Trrap	NaN
Elavl1	1.0871
Eno1	NaN
Axin2	NaN
Kat2b	NaN
Mycn	-0.317982
Max	NaN
Hnf1a	NaN
Junb	NaN
Nr2f1	NaN
Ewsr1	NaN
Chuk	NaN
Il12a	NaN
Mdk	NaN
Elk1	NaN
Hgf	NaN
Csf2	NaN
Ccl11	NaN
Mt2	NaN
Plau	NaN
Drd1	NaN
Rps6ka5	NaN
Crem	NaN
Tbp	NaN
Htr2c	NaN
Ralgds	NaN
Cfh	1.3163
Crk	NaN
Crkl	NaN
Plcg2	NaN
Tln2	NaN
Pgr	NaN
Grap	NaN
Plcg1	NaN
Cdk5	NaN
Ctnnd1	NaN
Cdh4	NaN
Pag1	NaN
Nr0b2	NaN
Nr1i3	-0.317982
Casp9	NaN
Hspb1	-0.317982
Cltc	NaN
Rdx	3.4712
Cma1	NaN
Ezr	NaN
Gzmg	NaN
Gzmb	NaN
Dap3	NaN
Madd	NaN
Msn	1.7657
Foxl2	NaN
Ikzf1	NaN
Itk	NaN
Btk	NaN
Irs2	NaN
Ms4a2	NaN
Fras1	NaN
Txk	NaN
Irs1	NaN
Arhgap27	NaN
Bmx	NaN
Irs4	NaN
Blnk	NaN
Cd28	NaN
Epor	NaN
Ar	NaN
Pik3cd	NaN
Sumo1	-0.317982
Pik3cb	NaN
E2f2	NaN
E2f3	NaN
Ctnna2	NaN
Ctnna1	NaN
Ctnna3	NaN
Ets2	NaN
Serpinc1	10.3555
Kpnb1	7.0937
Ppp3cb	NaN
Ppp3cc	NaN
Bak1	NaN
E2f1	-0.317982
Birc7	NaN
Foxo4	NaN
Cradd	NaN
Nos3	NaN
Gbp1	NaN
Ccl2	NaN
Grn	NaN
Cyr61	NaN
Cfb	7.1626
Mmp12	NaN
F3	NaN
Pros1	NaN
Limk2	NaN
Pard6a	NaN
Musk	NaN
Limk1	NaN
Ror2	NaN
Notch2	NaN
Dnmt3b	NaN
Srebf2	-0.317982
Gng11	NaN
Calm3	NaN
Gnal	NaN
Gnas	NaN
Calm2	NaN
Calm1	NaN
Ednra	NaN
Nr1i2	-0.317982
Dnm1	NaN
Tbx21	-0.317982
Prkce	NaN
Prkci	NaN
Ngf	NaN
Prkch	NaN
Prkcz	NaN
Tlr3	NaN
Hmgb1	10.9705
Hdac4	NaN
Cebpa	NaN
Nfatc2	NaN
Nfatc1	NaN
Csnk1e	NaN
Pin1	NaN
Csnk1g3	NaN
Csnk1d	NaN
Csnk1g1	NaN
Csnk1a1	NaN
Ppp2r2a	NaN
Ube2d2	4.1779
Ube2e1	NaN
Ube2d1	NaN
Ube2n	NaN
Wnt5a	NaN
Arrb2	-0.317982
Pif1	NaN
Sp4	NaN
Ruvbl2	0.5846
Sp3	NaN
Ruvbl1	9.8309
Creb1	NaN
Rxrg	NaN
Esrra	NaN
Mef2c	NaN
Foxo1	-0.317982
Nr1h3	NaN
Nr1h2	NaN
Ppard	NaN
Srebf1	-0.317982
Angpt1	NaN
Foxo3	NaN
Birc5	NaN
Itga1	NaN
Cdh1	NaN
Cdh2	NaN
Arf1	NaN
Arf3	NaN
Arf2	NaN
Pebp1	NaN
Bub1	NaN
Hist1h3h	NaN
Kif23	NaN
Hist1h3b	NaN
Hist1h3a	NaN
Hist1h3f	NaN
Hist2h3c1	NaN
H3f3b	NaN
Hist1h3e	NaN
Hist1h3i	NaN
Hist1h3g	NaN
H3f3a	NaN
Hist1h3c	NaN
Hist2h3c2	NaN
Hist1h3d	NaN
Hist2h3b	NaN
H3f3c	NaN
Itgbl1	NaN
Ppp1r14a	NaN
Itgb2l	NaN
Itgb7	NaN
Itgb3	NaN
Itgb6	NaN
Itgb2	NaN
Ilkap	NaN
Itgb5	NaN
Yy1	NaN
Mmp10	NaN
Csnk2a1	NaN
Csnk2a2	NaN
Gngt1	NaN
Rheb	NaN
Fcer1g	NaN
Cdc6	NaN
Rpa2	NaN
Rpa1	NaN
Orc1	NaN
Map3k11	NaN
Lrrk1	NaN
Ripk3	NaN
Sirt1	-0.317982
Ncor2	NaN
Gata6	NaN
Srf	NaN
Il12rb2	NaN
Nfil3	NaN
Il12b	NaN
Casp3	0.005
Casp7	1.9791
Cdc42bpg	NaN
Cdc42bpa	NaN
Prkcg	NaN
Sdc4	NaN
Prkcb	NaN
Prkca	NaN
Prkcq	NaN
Actn3	NaN
Actn2	NaN
Tns2	NaN
Prkcd	NaN
Actn4	NaN
Actn1	6.6873
Epas1	-0.317982
Tnfsf10	NaN
Tnfrsf10b	NaN
Ripk2	-0.317982
Cflar	NaN
Chd9	NaN
Tgs1	NaN
Ncoa1	NaN
Ncoa6	NaN
Carm1	NaN
Smarcd3	-0.317982
Tbl1xr1	NaN
Ppara	NaN
Tbl1x	NaN
Rxra	NaN
Helz2	NaN
Il6	NaN
Lep	NaN
Epo	NaN
Stat5b	NaN
Stat6	NaN
Stat4	NaN
Mst1r	NaN
Irf1	NaN
Cyp1a1	NaN
Cyp2e1	16.2616
Cyp3a11	5.6065
Cyp1a2	NaN
Frat2	NaN
Lrp6	NaN
Gsk3b	NaN
Ppp2r5a	NaN
Tcf7	NaN
Ppp2r5c	NaN
Gsk3a	NaN
Wnt3	NaN
Stat5a	NaN
Chd4	NaN
Agtr1b	NaN
Agtr1a	NaN
Smad6	NaN
Cd3g	NaN
Cd3d	NaN
Cd3e	NaN
Cd247	NaN
Wnt3a	NaN
Mmp9	NaN
Erbb2	NaN
Ncstn	NaN
Erbb4	NaN
Psen2	NaN
Adam10	NaN
Erbb3	NaN
Dll4	NaN
Egfr	9.2228
Myt1	NaN
Cdk7	NaN
Nfyb	NaN
Atf6	NaN
Nfyc	-0.317982
Nfya	NaN
Nectin2	NaN
Gzmk	NaN
Gzma	NaN
Sfn	NaN
Ywhaq	NaN
Ppp2r1a	2.2756
Prkdc	NaN
Ywhaz	4.6509
Ywhah	5.3028
Ppp2r2b	NaN
Atr	-0.317982
Ywhae	NaN
Ywhab	NaN
Smg1	NaN
Ywhag	NaN
Tfdp1	NaN
Hdac2	NaN
Hdac1	NaN
Rbl2	NaN
Rbl1	NaN
Rbbp4	NaN
Prl4a1	NaN
Prl3c1	NaN
Rbx1	NaN
Gh1	NaN
Cul1	NaN
Prl8a9	NaN
Prl	NaN
Prl7a1	NaN
Prl3b1	NaN
Prlr	NaN
Prl6a1	NaN
Prl7a2	NaN
Prl7c1	NaN
Prl8a8	NaN
Prl7d1	NaN
Prl8a6	NaN
Prl2c2	NaN
Prl7b1	NaN
Prl2b1	NaN
Prl5a1	NaN
Prl2c3	NaN
Prl3d1	NaN
Prl2a1	NaN
Smad7	NaN
Cav1	NaN
Ybx1	3.0854
Rela	NaN
Rab11a	NaN
Rab14	NaN
Ptgs2	NaN
Dkk1	NaN
Taf1	NaN
Aurka	NaN
Ash1l	NaN
Aurkb	NaN
Clock	NaN
Arntl	NaN
Npas2	-0.317982
Myc	NaN
Tgfb1	NaN
Runx3	NaN
Zfyve16	NaN
Tgfbr1	NaN
Bmpr1b	NaN
Acvr1	NaN
Runx2	NaN
Acvrl1	NaN
Tgfbr2	NaN
Bmpr1a	NaN
Acvr1c	NaN
Acvr1b	NaN
Adam17	NaN
Psen1	NaN
Ptpn1	NaN
Pik3r2	NaN
Ptpn6	NaN
Frk	NaN
Pik3r1	NaN
Pik3ca	-0.317982
Ptpn2	NaN
Abl1	NaN
